"","zone","is_totalnrate_lbsac","uanrate_galac","area_ac","uan_gal"
"1","high",162.412372401651,54.1,146.5282925623,7927.18062762042
"2","low",151.547227541363,50.5,110.378057820729,5574.09191994683
