"","zone","yieldpotential","totalnrate_lbsac","pp_totalnrate_lbsac","is_totalnrate_lbsac","uanrate_galac"
"1","high",222.010310334709,236.412372401651,78.0160828925449,162.412372401651,54.1
"2","low",212.956022951136,225.547227541363,74.4305850886497,151.547227541363,50.5
